tx_id,timestamp,tuple_id,column_id
0,0,165,10
1,1,5,6
2,2,617,2
3,3,63,3
4,4,0,6
5,5,8997,0
6,6,139,0
7,7,196,0
8,8,0,1
9,9,6,0
10,10,3,10
11,11,2461,4
12,12,35,1
13,13,339,1
14,14,6,1
15,15,1,2
16,16,15,1
17,17,0,18
18,18,366,0
19,19,31,5
20,20,134,3
21,21,3,1
22,22,7768,0
23,23,1185,6
24,24,176,0
25,25,0,5
26,26,7,4
27,27,0,0
28,28,0,0
29,29,54,2
30,30,112,0
31,31,7079,8
32,32,2,0
33,33,3,15
34,34,7,0
35,35,0,0
36,36,0,2
37,37,7,2
38,38,1,12
39,39,47,0
40,40,5,8
41,41,397,0
42,42,66,0
43,43,2,0
44,44,394,4
45,45,257,1
46,46,4,0
47,47,1,9
48,48,54,15
49,49,0,2
50,50,0,8
51,51,0,0
52,52,198,5
53,53,44,1
54,54,69,6
55,55,182,0
56,56,6,14
57,57,17,11
58,58,0,1
59,59,0,0
60,60,46,1
61,61,7,8
62,62,16,0
63,63,146,2
64,64,32,0
65,65,15,8
66,66,16,0
67,67,2,4
68,68,0,1
69,69,5,14
70,70,1,0
71,71,4,2
72,72,563,3
73,73,1,9
74,74,0,9
75,75,1,1
76,76,2,0
77,77,43,6
78,78,15,8
79,79,190,5
80,80,44,1
81,81,4,11
82,82,296,19
83,83,0,1
84,84,0,5
85,85,0,5
86,86,85,0
87,87,7,1
88,88,0,9
89,89,9,5
90,90,0,11
91,91,63,18
92,92,6,1
93,93,3,5
94,94,2,12
95,95,31,11
96,96,3,2
97,97,0,1
98,98,0,13
99,99,6035,14
100,100,1637,13
101,101,65,3
102,102,1,1
103,103,7429,6
104,104,177,2
105,105,80,1
106,106,6,2
107,107,1,3
108,108,0,1
109,109,1441,0
110,110,6,7
111,111,0,2
112,112,2,0
113,113,19,2
114,114,0,1
115,115,595,2
116,116,134,2
117,117,82,19
118,118,5,1
119,119,30,0
120,120,20,3
121,121,38,0
122,122,0,6
123,123,5,10
124,124,0,1
125,125,9,6
126,126,2,12
127,127,0,18
128,128,0,4
129,129,20,13
130,130,0,0
131,131,2369,0
132,132,19,0
133,133,2,5
134,134,21,6
135,135,0,14
136,136,5502,5
137,137,8,0
138,138,187,9
139,139,0,0
140,140,8,4
141,141,9,14
142,142,3209,5
143,143,18,1
144,144,7,1
145,145,1,0
146,146,2,7
147,147,11,0
148,148,5,13
149,149,0,2
150,150,358,0
151,151,1261,2
152,152,0,1
153,153,15,3
154,154,0,0
155,155,48,4
156,156,1,2
157,157,42,5
158,158,90,0
159,159,154,18
160,160,0,1
161,161,1926,5
162,162,1,0
163,163,0,2
164,164,15,0
165,165,3,2
166,166,379,3
167,167,271,11
168,168,2,4
169,169,4722,1
170,170,1,9
171,171,11,1
172,172,1,2
173,173,3072,0
174,174,0,2
175,175,0,5
176,176,5,1
177,177,15362,0
178,178,1151,10
179,179,118,6
180,180,1131,0
181,181,1193,1
182,182,11,6
183,183,2,4
184,184,161,2
185,185,43,0
186,186,3,15
187,187,0,5
188,188,115,8
189,189,1,19
190,190,3130,0
191,191,1,0
192,192,0,0
193,193,387,3
194,194,0,2
195,195,0,0
196,196,23,0
197,197,826,12
198,198,0,10
199,199,2,1
