tx_id,timestamp,tuple_id,column_id
0,0,20,10
1,1,1,6
2,2,61,2
3,3,10,3
4,4,0,6
5,5,1895,0
6,6,18,0
7,7,23,0
8,8,0,1
9,9,1,0
10,10,1,10
11,11,256,4
12,12,6,1
13,13,36,1
14,14,1,1
15,15,0,2
16,16,3,1
17,17,0,18
18,18,38,0
19,19,6,5
20,20,17,3
21,21,1,1
22,22,1416,0
23,23,114,6
24,24,21,0
25,25,0,5
26,26,2,4
27,27,0,0
28,28,0,0
29,29,8,2
30,30,15,0
31,31,1193,8
32,32,0,0
33,33,1,15
34,34,2,0
35,35,0,0
36,36,0,2
37,37,2,2
38,38,0,12
39,39,8,0
40,40,1,8
41,41,41,0
42,42,10,0
43,43,0,0
44,44,41,4
45,45,29,1
46,46,1,0
47,47,0,9
48,48,8,15
49,49,0,2
50,50,0,8
51,51,0,0
52,52,23,5
53,53,7,1
54,54,10,6
55,55,22,0
56,56,2,14
57,57,4,11
58,58,0,1
59,59,0,0
60,60,8,1
61,61,2,8
62,62,3,0
63,63,18,2
64,64,6,0
65,65,3,8
66,66,3,0
67,67,0,4
68,68,0,1
69,69,1,14
70,70,0,0
71,71,1,2
72,72,56,3
73,73,0,9
74,74,0,9
75,75,0,1
76,76,0,0
77,77,7,6
78,78,3,8
79,79,22,5
80,80,7,1
81,81,1,11
82,82,32,19
83,83,0,1
84,84,0,5
85,85,0,5
86,86,12,0
87,87,2,1
88,88,0,9
89,89,2,5
90,90,0,11
91,91,9,18
92,92,1,1
93,93,1,5
94,94,0,12
95,95,6,11
96,96,1,2
97,97,0,1
98,98,0,13
99,99,905,14
100,100,160,13
101,101,10,3
102,102,0,1
103,103,1303,6
104,104,21,2
105,105,11,1
106,106,1,2
107,107,0,3
108,108,0,1
109,109,140,0
110,110,2,7
111,111,0,2
112,112,0,0
113,113,4,2
114,114,0,1
115,115,59,2
116,116,17,2
117,117,12,19
118,118,1,1
119,119,5,0
120,120,4,3
121,121,6,0
122,122,0,6
123,123,1,10
124,124,0,1
125,125,2,6
126,126,1,12
127,127,0,18
128,128,0,4
129,129,4,13
130,130,0,0
131,131,245,0
132,132,4,0
133,133,1,5
134,134,4,6
135,135,0,14
136,136,778,5
137,137,2,0
138,138,22,9
139,139,0,0
140,140,2,4
141,141,2,14
142,142,358,5
143,143,4,1
144,144,2,1
145,145,0,0
146,146,1,7
147,147,2,0
148,148,1,13
149,149,0,2
150,150,38,0
151,151,122,2
152,152,0,1
153,153,3,3
154,154,0,0
155,155,8,4
156,156,0,2
157,157,7,5
158,158,13,0
159,159,19,18
160,160,0,1
161,161,192,5
162,162,0,0
163,163,0,2
164,164,3,0
165,165,1,2
166,166,40,3
167,167,30,11
168,168,0,4
169,169,614,1
170,170,0,9
171,171,2,1
172,172,0,2
173,173,338,0
174,174,0,2
175,175,0,5
176,176,1,1
177,177,7380,0
178,178,111,10
179,179,15,6
180,180,109,0
181,181,115,1
182,182,2,6
183,183,0,4
184,184,20,2
185,185,7,0
186,186,1,15
187,187,0,5
188,188,15,8
189,189,0,19
190,190,346,0
191,191,0,0
192,192,0,0
193,193,40,3
194,194,0,2
195,195,0,0
196,196,4,0
197,197,80,12
198,198,0,10
199,199,0,1
200,200,21,3
201,201,1510,0
202,202,2,0
203,203,0,9
204,204,0,1
205,205,0,8
206,206,0,8
207,207,8,0
208,208,0,1
209,209,2,1
210,210,9,1
211,211,4,3
212,212,0,1
213,213,28,1
214,214,11,9
215,215,14,7
216,216,0,4
217,217,0,1
218,218,262,0
219,219,1,0
220,220,0,10
221,221,2,1
222,222,7,12
223,223,686,4
224,224,0,0
225,225,243,17
226,226,0,6
227,227,3,13
228,228,6,13
229,229,0,3
230,230,0,10
231,231,1,1
232,232,1117,9
233,233,4,9
234,234,308,1
235,235,28,17
236,236,2,1
237,237,23,1
238,238,0,4
239,239,0,17
240,240,39,11
241,241,26,11
242,242,0,7
243,243,3,3
244,244,5,2
245,245,71,6
246,246,5,0
247,247,1,0
248,248,1,0
249,249,1,0
250,250,7,7
251,251,71,0
252,252,2,0
253,253,0,8
254,254,0,1
255,255,15,1
256,256,33,3
257,257,0,6
258,258,0,2
259,259,4,0
260,260,0,0
261,261,37,5
262,262,0,1
263,263,0,0
264,264,219,17
265,265,0,0
266,266,0,17
267,267,0,1
268,268,0,0
269,269,0,1
270,270,0,13
271,271,0,11
272,272,0,0
273,273,4,8
274,274,8,0
275,275,1,1
276,276,0,4
277,277,2,12
278,278,81,11
279,279,54,2
280,280,0,18
281,281,0,2
282,282,0,1
283,283,0,7
284,284,4,7
285,285,1,13
286,286,0,16
287,287,1,9
288,288,3,1
289,289,0,0
290,290,42,4
291,291,0,12
292,292,243,5
293,293,0,0
294,294,48,3
295,295,140,1
296,296,2458,11
297,297,28,15
298,298,21,2
299,299,6,0
300,300,21,18
301,301,0,9
302,302,3,0
303,303,2,10
304,304,60,17
305,305,2,6
306,306,1,1
307,307,6,6
308,308,0,0
309,309,0,1
310,310,2,16
311,311,1,16
312,312,0,3
313,313,1,3
314,314,1,6
315,315,1,5
316,316,1,7
317,317,9,16
318,318,0,7
319,319,525,2
320,320,194,1
321,321,2,10
322,322,1,0
323,323,3,8
324,324,52,1
325,325,7,6
326,326,28,2
327,327,3,1
328,328,6,14
329,329,0,0
330,330,13,0
331,331,0,2
332,332,9,3
333,333,63,5
334,334,0,1
335,335,5,2
336,336,0,1
337,337,12,0
338,338,0,7
339,339,337,1
340,340,0,2
341,341,789,0
342,342,27,1
343,343,4,8
344,344,22,2
345,345,25,10
346,346,473,12
347,347,0,0
348,348,4,9
349,349,0,0
350,350,5,5
351,351,0,1
352,352,3,2
353,353,4,1
354,354,2,5
355,355,3,0
356,356,18,4
357,357,27,0
358,358,2,3
359,359,4,8
360,360,292,0
361,361,0,3
362,362,0,7
363,363,0,1
364,364,7,1
365,365,1,11
366,366,20,0
367,367,8,0
368,368,1,4
369,369,128,10
370,370,18,12
371,371,0,3
372,372,1,3
373,373,0,8
374,374,0,15
375,375,0,10
376,376,339,0
377,377,1,6
378,378,1,0
379,379,13,1
380,380,3,0
381,381,339,17
382,382,22,0
383,383,2,1
384,384,1,7
385,385,4244,0
386,386,11,10
387,387,574,0
388,388,0,0
389,389,54,0
390,390,6,1
391,391,0,1
392,392,4,6
393,393,9,1
394,394,0,2
395,395,2,14
396,396,37,0
397,397,0,13
398,398,2,17
399,399,1,8
400,400,0,7
401,401,205,0
402,402,22,2
403,403,0,1
404,404,12931,1
405,405,87,0
406,406,0,0
407,407,44,0
408,408,0,11
409,409,17390,2
410,410,7,0
411,411,6,0
412,412,0,0
413,413,124,4
414,414,0,9
415,415,0,1
416,416,0,2
417,417,21,3
418,418,0,1
419,419,168,2
420,420,7,1
421,421,0,0
422,422,0,2
423,423,0,1
424,424,5,10
425,425,27,0
426,426,0,5
427,427,53,0
428,428,0,2
429,429,27,4
430,430,264,12
431,431,20,0
432,432,10,4
433,433,44,0
434,434,0,0
435,435,0,1
436,436,0,4
437,437,2,0
438,438,15,18
439,439,6,14
440,440,54,0
441,441,0,1
442,442,13,0
443,443,0,0
444,444,0,7
445,445,11,0
446,446,2570,0
447,447,5,0
448,448,0,0
449,449,5,9
450,450,0,2
451,451,96,2
452,452,11,16
453,453,0,0
454,454,0,3
455,455,0,0
456,456,2538,14
457,457,2,0
458,458,22,1
459,459,6,12
460,460,4,2
461,461,0,14
462,462,473,4
463,463,0,0
464,464,4,6
465,465,10,0
466,466,6,16
467,467,392,15
468,468,0,12
469,469,2,10
470,470,1,2
471,471,2,0
472,472,0,0
473,473,0,0
474,474,0,10
475,475,0,0
476,476,1,1
477,477,5,0
478,478,6,0
479,479,1,11
480,480,1,6
481,481,0,7
482,482,4,2
483,483,0,0
484,484,0,0
485,485,1,2
486,486,2,2
487,487,0,0
488,488,4,4
489,489,3,1
490,490,10,2
491,491,6,1
492,492,7,5
493,493,0,0
494,494,23,1
495,495,3,6
496,496,1,0
497,497,5,0
498,498,1,0
499,499,2,4
500,500,14,0
501,501,100,0
502,502,219,3
503,503,2,2
504,504,2,10
505,505,27,0
506,506,0,10
507,507,44,0
508,508,2,2
509,509,0,1
510,510,0,2
511,511,47,17
512,512,0,5
513,513,0,12
514,514,1,0
515,515,0,1
516,516,0,2
517,517,15,2
